"occupation_id","onet_task_id","task_statement","task_family_id","task_type","importance","frequency","source_mix","notes"
"occ_41_3091_00","manual_sr_02","Coordinate solution scoping with delivery, product, or account teams.","cluster_coordination","Core","0.74","0.60","src_manual_role_graph_review_2026_03","manual_role_graph_expansion"
"occ_41_3091_00","manual_sr_03","Negotiate commercial terms and move service deals to close.","cluster_relationship_management","Core","0.82","0.68","src_manual_role_graph_review_2026_03","manual_role_graph_expansion"
"occ_13_1199_00","manual_bo_01","Triage operational requests across teams and assign owners for follow-up.","cluster_coordination","Core","0.72","0.66","src_manual_role_graph_review_2026_03","manual_role_graph_expansion"
"occ_13_1199_00","manual_bo_02","Prepare status dashboards, trackers, and exception summaries for leaders.","cluster_documentation","Supplemental","0.68","0.62","src_manual_role_graph_review_2026_03","manual_role_graph_expansion"
"occ_13_1199_00","manual_bo_03","Investigate process breakdowns and recommend operational fixes.","cluster_analysis","Core","0.79","0.60","src_manual_role_graph_review_2026_03","manual_role_graph_expansion"
"occ_13_1199_00","manual_bo_04","Maintain vendor, compliance, or program trackers used by multiple teams.","cluster_workflow_admin","Core","0.70","0.74","src_manual_role_graph_review_2026_03","manual_role_graph_expansion"
"occ_13_1199_00","manual_bo_05","Support cross-functional rollout plans and follow up on open actions.","cluster_coordination","Core","0.74","0.63","src_manual_role_graph_review_2026_03","manual_role_graph_expansion"
"occ_13_1199_00","manual_bo_06","Draft SOP updates and process guidance when workflows change.","cluster_documentation","Supplemental","0.69","0.56","src_manual_role_graph_review_2026_03","manual_role_graph_expansion"
"occ_13_1199_00","manual_bo_07","Monitor handoffs and escalate unresolved blockers before they delay delivery.","cluster_coordination","Core","0.75","0.61","src_manual_role_graph_review_2026_03","manual_role_graph_expansion"
"occ_13_1199_00","manual_bo_08","Reconcile inputs from finance, operations, and customer teams before decisions are made.","cluster_analysis","Core","0.73","0.58","src_manual_role_graph_review_2026_03","manual_role_graph_expansion"
"occ_13_1199_00","manual_bo_09","Coordinate vendor onboarding, documentation, and issue follow-up across stakeholders.","cluster_coordination","Core","0.69","0.57","src_manual_role_graph_review_2026_03","manual_role_graph_expansion"
"occ_13_1199_00","manual_bo_10","Audit trackers or program records for missing data, exceptions, and overdue items.","cluster_qa_review","Core","0.71","0.60","src_manual_role_graph_review_2026_03","manual_role_graph_expansion"
"occ_13_1199_00","manual_bo_11","Prepare decision memos or summaries for operational tradeoffs and escalations.","cluster_decision_support","Core","0.75","0.54","src_manual_role_graph_review_2026_03","manual_role_graph_expansion"
"occ_13_1199_00","manual_bo_12","Maintain recurring meeting cadences, agendas, and follow-up logs for operating reviews.","cluster_workflow_admin","Supplemental","0.67","0.66","src_manual_role_graph_review_2026_03","manual_role_graph_expansion"
"occ_13_1199_00","manual_bo_13","Support invoice, purchasing, or budget coordination for cross-team initiatives.","cluster_execution_routine","Supplemental","0.63","0.62","src_manual_role_graph_review_2026_03","manual_role_graph_expansion"
"occ_13_1199_00","manual_bo_14","Translate policy or compliance changes into operational checklists and workflow updates.","cluster_documentation","Core","0.72","0.53","src_manual_role_graph_review_2026_03","manual_role_graph_expansion"
"occ_13_1199_00","manual_bo_15","Surface program risks, unresolved dependencies, and decisions needed from leadership.","cluster_decision_support","Core","0.76","0.51","src_manual_role_graph_review_2026_03","manual_role_graph_expansion"
"occ_13_1199_00","manual_bo_16","Coordinate onboarding or enablement tasks when new processes, vendors, or systems launch.","cluster_coordination","Core","0.70","0.56","src_manual_role_graph_review_2026_03","manual_role_graph_expansion"
